Output(590,380)	w	w	x	x	y	y	z	z
1	0	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0
E	1	0	0	0	1	0	0	0
E	1	0	1	0	1	0	0	0
E	1	0	1	0	1	0	0	1
E	1	0	1	0	1	0	0	0
E	1	0	0	0	1	0	0	0
1	1	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0
E	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0
E	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1
0	0	0	1	0	0	0	0	1
0	0	0	1	0	1	0	0	1
0	1	0	1	0	1	0	0	1
0	1	1	1	0	1	0	0	1
1	1	1	1	0	1	1	0	1
1	1	1	1	1	1	1	0	1
1	1	1	1	1	1	1	1	1
1	1	1	1	0	1	1	1	1
1	1	1	0	0	1	1	1	1
1	1	1	0	0	1	1	0	1
1	1	1	0	0	1	1	0	0
0	1	1	0	0	1	0	0	0
1	1	1	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0
1	0	1	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0
